snapshot_date,mpn,source,status,http_status,match_type,matched_mpn,lead_time_weeks,detail,collected_at
2026-08-15,ATMEGA328P-AURA0,digikey,ok,200.0,exact,ATMEGA328P-AURA0,52.0,,2026-08-15T20:25:36+00:00
2026-08-15,DEV-10914,digikey,ok,200.0,contains,10914,12.0,,2026-08-15T20:25:37+00:00
2026-08-15,DEV-10116,digikey,ok,200.0,contains,10116,12.0,,2026-08-15T20:25:39+00:00
2026-08-15,ATMEGA328,digikey,ok,200.0,contains,ATMEGA328PB-MU,22.0,,2026-08-15T20:25:40+00:00
2026-08-15,ATMEGA328P-20MU,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:41+00:00
2026-08-15,ATMEGA328PV10AU,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:42+00:00
2026-08-15,ATMEGA328P-AU SL044,digikey,no_match,200.0,,,,catalog returned 0 products,2026-08-15T20:25:43+00:00
2026-08-15,K010007,digikey,ok,200.0,exact,K010007,9.0,,2026-08-15T20:25:44+00:00
2026-08-15,PGM-09825,digikey,ok,200.0,contains,09825,12.0,,2026-08-15T20:25:45+00:00
2026-08-15,110990014,digikey,ok,200.0,exact,110990014,37.0,,2026-08-15T20:25:47+00:00
2026-08-15,102010000,digikey,ok,200.0,exact,102010000,40.0,,2026-08-15T20:25:48+00:00
2026-08-15,DEV-13955,digikey,ok,200.0,contains,13955,12.0,,2026-08-15T20:25:49+00:00
2026-08-15,SWG-19631,digikey,ok,200.0,contains,19631,12.0,,2026-08-15T20:25:50+00:00
2026-08-15,2648,digikey,ok,200.0,exact,2648,5.0,,2026-08-15T20:25:51+00:00
2026-08-15,DEV-13342,digikey,ok,200.0,contains,13342,12.0,,2026-08-15T20:25:53+00:00
2026-08-15,2590,digikey,ok,200.0,exact,2590,4.0,,2026-08-15T20:25:54+00:00
2026-08-15,DEV-13712,digikey,ok,200.0,contains,13712,12.0,,2026-08-15T20:25:56+00:00
2026-08-15,DC2026C-KIT,digikey,ok,200.0,exact,DC2026C-KIT,10.0,,2026-08-15T20:25:57+00:00
2026-08-15,102990824,digikey,ok,200.0,exact,102990824,41.0,,2026-08-15T20:25:58+00:00
2026-08-15,DFR0004,digikey,ok,200.0,exact,DFR0004,9.0,,2026-08-15T20:25:59+00:00
2026-08-15,102010070,digikey,ok,200.0,exact,102010070,40.0,,2026-08-15T20:26:00+00:00
