snapshot_date,mpn,manufacturer,category,source,lead_time_weeks,lifecycle_status,stock,unit_price,match_type,matched_mpn,dk_part_number,products_count,exact_match_count,collected_at,dk_manufacturer,dk_manufacturer_id,dk_category,dk_subcategory,dk_category_id,series,base_product,description,product_status_id,normally_stocking,discontinued,end_of_life,ncnr,back_order_not_allowed,date_last_buy_chance,quantity_available,manufacturer_public_quantity,lead_time_weeks_raw,moq,standard_package,packaging,variation_count,tariff_active,marketplace,qty_available_for_package,max_qty_for_distribution,digireel_fee,dk_unit_price,price_break_count,min_break_qty,unit_price_min_break,max_break_qty,unit_price_max_break,rohs_status,reach_status,moisture_sensitivity_level,export_control_class,htsus_code,package_case,mounting_type,parameter_count
2026-08-15,113991114,Seeed Studio,Uncategorized,digikey,4,Active,11141,7.49,exact,113991114,1597-113991114-ND,1,1,2026-08-15T20:21:47+00:00,"Seeed Technology Co., Ltd",1597,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32-S,ESP32-S3,XIAO ESP32S3,0,1,0,0,0,0,,11141,0,4,1,0,Bulk,1,1,0,11141,0,0.0,7.49,1,1,7.49,1,7.49,Unknown,REACH Unaffected,1  (Unlimited),5A992C            SC,8517.62.0090,,,5
2026-08-15,113991115,Seeed Studio,Uncategorized,digikey,4,Active,5330,13.9,exact,113991115,1597-113991115-ND,1,1,2026-08-15T20:21:48+00:00,"Seeed Technology Co., Ltd",1597,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32-S,ESP32-S3,XIAO ESP32S3 SENSE,0,1,0,0,0,0,,5330,0,4,1,0,Bulk,1,1,0,5330,0,0.0,13.9,1,1,13.9,1,13.9,Unknown,REACH Unknown,1  (Unlimited),5A992C            SC,8525.89.5050,,,4
2026-08-15,DFR1063,DFRobot,DSPs - Digital Signal Processors,digikey,7,Active,39,19.9,exact,DFR1063,1738-DFR1063-ND,2,1,2026-08-15T20:21:50+00:00,DFRobot,1738,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32-C,ESP32-C3,ROMEO ESP32-C3 ROBOT CONTROL BRD,0,1,0,0,0,0,,39,0,7,1,0,Retail Package,1,1,0,39,0,0.0,19.9,1,1,19.9,1,19.9,ROHS3 Compliant,REACH Unknown,1  (Unlimited),5A992C            SC,8517.62.0090,,Fixed,6
2026-08-15,DFR1117,DFRobot,Uncategorized,digikey,9,Active,1351,4.9,exact,DFR1117,1738-DFR1117-ND,1,1,2026-08-15T20:22:04+00:00,DFRobot,1738,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32-C,,BEETLE ESP32 C6 MINI DEV BOARD,0,1,0,0,0,0,,1351,0,9,1,0,Box,1,1,0,1351,0,0.0,4.9,1,1,4.9,1,4.9,ROHS3 Compliant,REACH Unknown,1  (Unlimited),5A992C            SC,8517.62.0090,,,5
2026-08-15,MIKROE-2542,mikroElektronika,Uncategorized,digikey,4,Active,11,18.0,exact,MIKROE-2542,1471-1749-ND,1,1,2026-08-15T20:22:08+00:00,MikroElektronika,1471,"Development Boards, Kits, Programmers",Evaluation Boards,33,,,WIFI ESP CLICK,0,1,0,0,0,0,,11,0,4,1,0,Bulk,1,1,0,11,0,0.0,18.0,1,1,18.0,1,18.0,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),5A992C            SC,8473.30.1180,,,5
2026-08-15,DFR1075,DFRobot,Uncategorized,digikey,9,Active,379,5.9,exact,DFR1075,1738-DFR1075-ND,1,1,2026-08-15T20:22:09+00:00,DFRobot,1738,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32-C,ESP32-C6,FIREBEETLE 2 ESP32-C6 IOT 4MB,0,1,0,0,0,0,,379,0,9,1,0,Box,1,1,0,379,0,0.0,5.9,1,1,5.9,1,5.9,ROHS3 Compliant,REACH Unknown,1  (Unlimited),5A992C            SC,8517.62.0090,,,5
2026-08-15,GPY,Pycom,NFC / RFID Components,digikey,14,Obsolete,0,,exact,GPY,1871-1010-ND,198,1,2026-08-15T20:22:10+00:00,Pycom Ltd.,1871,"Development Boards, Kits, Programmers",Evaluation Boards,33,,,GY IOT DEV BOARD,1,0,0,0,0,0,2022-07-08T05:00:00+00:00,0,0,14,0,1,Bag,1,1,0,0,999999999,0.0,0.0,0,,,,,RoHS Compliant,REACH Unknown,1  (Unlimited),5A002A          PYC,8517.62.0090,,,5
2026-08-15,DFR0654,DFRobot,NFC / RFID Components,digikey,9,Active,405,9.88,exact,DFR0654,1738-DFR0654-ND,2,1,2026-08-15T20:22:11+00:00,DFRobot,1738,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32,ESP32,FIREBEETLE 2 ESP32-E IOT,0,1,0,0,0,0,,405,0,9,1,0,Bulk,1,1,0,405,0,0.0,9.88,1,1,9.88,1,9.88,Not Applicable,REACH Unknown,1  (Unlimited),5A992C            SC,8471.50.0150,,,5
2026-08-15,DFR0868,DFRobot,Uncategorized,digikey,9,Active,111,7.9,exact,DFR0868,1738-DFR0868-ND,1,1,2026-08-15T20:22:13+00:00,DFRobot,1738,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32-C,ESP32-C3,BEETLE ESP32-C3 VERSION 2,0,1,0,0,0,0,,111,0,9,1,0,Bulk,1,1,0,111,0,0.0,7.9,1,1,7.9,1,7.9,Not Applicable,REACH Unknown,1  (Unlimited),5A992C            SC,8517.62.0090,,,5
2026-08-15,SIPY RCZ1 & RCZ3,Pycom,NFC / RFID Components,digikey,14,Discontinued at DigiKey,0,31.8024,exact,SIPY RCZ1 & RCZ3,1871-1002-ND,1,1,2026-08-15T20:22:14+00:00,Pycom Ltd.,1871,"Development Boards, Kits, Programmers",Evaluation Boards,33,,SIPY RCZ1,SIPY IOT DEV BOARD RCZ1/RCZ3,2,0,0,0,0,1,,0,0,14,200,1,Bag,1,1,0,0,999999999,0.0,31.8024,1,200,31.8024,200,31.8024,ROHS3 Compliant,REACH Unknown,1  (Unlimited),5A002A          PYC,8517.62.0090,,,5
2026-08-15,DFR0654-F,DFRobot,NFC / RFID Components,digikey,9,Active,185,10.62,exact,DFR0654-F,1738-DFR0654-F-ND,1,1,2026-08-15T20:22:15+00:00,DFRobot,1738,"Development Boards, Kits, Programmers",Evaluation Boards,33,ESP32,ESP32,FIREBEETLE 2 ESP32-E IOT HEADER,0,1,0,0,0,0,,185,0,9,1,0,Bulk,1,1,0,185,0,0.0,10.62,1,1,10.62,1,10.62,Not Applicable,REACH Unknown,1  (Unlimited),5A992C            SC,8471.50.0150,,,5
2026-08-15,LOPY4,Pycom,NFC / RFID Components,digikey,14,Obsolete,0,,exact,LOPY4,1871-1019-ND,2,1,2026-08-15T20:22:16+00:00,Pycom Ltd.,1871,"Development Boards, Kits, Programmers",Evaluation Boards,33,,,LOPY4 IOT DEV BOARD,1,0,0,0,0,0,2022-07-08T05:00:00+00:00,0,0,14,0,100,Box,1,1,0,0,999999999,0.0,0.0,0,,,,,RoHS Compliant,REACH Unknown,1  (Unlimited),5A002A          PYC,8517.62.0090,,,5
2026-08-15,FIPY,Pycom,NFC / RFID Components,digikey,14,Obsolete,0,,exact,FIPY,1871-1011-ND,5,1,2026-08-15T20:22:18+00:00,Pycom Ltd.,1871,"Development Boards, Kits, Programmers",Evaluation Boards,33,,,FIPY IOT DEV BOARD,1,0,0,0,0,0,2022-07-08T05:00:00+00:00,0,0,14,0,1,Bag,1,1,0,0,999999999,0.0,0.0,0,,,,,RoHS Compliant,REACH Unknown,1  (Unlimited),5A002A          PYC,8517.62.0090,,,5
2026-08-15,SIPY RCZ2 & RCZ4,Pycom,NFC / RFID Components,digikey,14,Discontinued at DigiKey,0,37.09225,exact,SIPY RCZ2 & RCZ4,1871-1003-ND,1,1,2026-08-15T20:22:19+00:00,Pycom Ltd.,1871,"Development Boards, Kits, Programmers",Evaluation Boards,33,,SIPY RCZ2,SIPY IOT DEV BOARD RCZ2/RCZ4,2,0,0,0,0,1,,0,0,14,200,1,Bag,1,1,0,0,999999999,0.0,37.09225,1,200,37.09225,200,37.09225,ROHS3 Compliant,REACH Unknown,1  (Unlimited),5A002A          PYC,8517.62.0090,,,5
2026-08-15,WIPY 3.0,Pycom,NFC / RFID Components,digikey,14,Obsolete,0,24.36745,exact,WIPY 3.0,1871-1000-ND,1,1,2026-08-15T20:22:22+00:00,Pycom Ltd.,1871,"Development Boards, Kits, Programmers",Evaluation Boards,33,,,WIPY 3.0 IOT DEV BOARD,1,0,0,0,0,0,2022-07-08T05:00:00+00:00,0,0,14,200,1,Bag,1,1,0,0,999999999,0.0,24.36745,1,200,24.36745,200,24.36745,RoHS Compliant,REACH Unknown,1  (Unlimited),5A002A          PYC,8517.62.0090,,,5
2026-08-15,LOPY,Pycom,NFC / RFID Components,digikey,3,Obsolete,0,32.51165,exact,LOPY,1871-1001-ND,18,1,2026-08-15T20:22:24+00:00,Pycom Ltd.,1871,"Development Boards, Kits, Programmers",Evaluation Boards,33,,,LOPY IOT DEV BOARD,1,0,0,0,0,0,,0,0,3,200,1,Bag,1,1,0,0,999999999,0.0,32.51165,1,200,32.51165,200,32.51165,Unknown,REACH Unknown,1  (Unlimited),5A002A          PYC,8517.62.0090,,,5
